Model,Accuracy,Precision,Recall,F1,Cohen_kappa
TF-IDF + LR,0.7168831168831169,0.6201550387596899,0.5714285714285714,0.5947955390334573,0.3777893098079917
BERTweet,0.7662337662337663,0.6358695652173914,0.8357142857142857,0.7222222222222222,0.5267686424474187
RoBERTa,0.8337662337662337,0.75,0.8142857142857143,0.7808219178082192,0.6472945891783568
GPT-3.5-turbo (zero-shot),0.8337662337662337,0.8454545454545455,0.6642857142857143,0.744,0.6235294117647059
GPT-4.1 (zero-shot),0.8987012987012987,0.8686131386861314,0.85,0.8592057761732852,0.7801127626858022
