model_name,accuracy,precision,recall,f1_score,cohens_k,invalid_count,invalid_rate,n_test
gpt-4.1,0.8519480519480519,0.7318435754189944,0.9357142857142857,0.8213166144200627,0.6981222917669716,0,0.0,385
gpt-3.5-turbo,0.8051948051948052,0.6666666666666666,0.9285714285714286,0.7761194029850746,0.611764705882353,0,0.0,385
claude-sonnet-4-6,0.8467532467532467,0.7165775401069518,0.9571428571428572,0.8195718654434251,0.6910994764397906,0,0.0,385
gemini-2.5-pro,0.8,0.6492890995260664,0.9785714285714285,0.7806267806267806,0.6102162908421538,0,0.0,385
